スタイル=NEC M式配列
スタイルファイル=HKEY_LOCAL_MACHINE\Software\Justsystem\ATOK\33.0\Style\MRoma

ローマ字設定=
，           、 
－           ー 
．           。 
／           ・ 
［           「 
］           」 
ａ           あ 
ｂａ         ば 
ｂｃ         ぼ 
ｂｅ         べ 
ｂｆ         ば 
ｂｉ         び 
ｂｊ         び 
ｂｌ         ぶ 
ｂｏ         ぼ 
ｂｑ         べ 
ｂｕ         ぶ 
ｂｖ         ぶい 
ｂｘ         ぶう 
ｂｙａ       びゃ 
ｂｙｃ       びょ 
ｂｙｅ       びぇ 
ｂｙｆ       びゃ 
ｂｙｉ       びぃ 
ｂｙｊ       びぃ 
ｂｙｌ       びゅ 
ｂｙｏ       びょ 
ｂｙｑ       びぇ 
ｂｙｕ       びゅ 
ｂｙｖ       びゅい 
ｂｙｘ       びゅう 
ｃ           お 
ｄａ         だ 
ｄｃ         ど 
ｄｅ         で 
ｄｆ         だ 
ｄｈａ       でゃ 
ｄｈｃ       でょ 
ｄｈｅ       でぇ 
ｄｈｆ       でゃ 
ｄｈｉ       でぃ 
ｄｈｊ       でぃ 
ｄｈｌ       でゅ 
ｄｈｏ       でょ 
ｄｈｑ       でぇ 
ｄｈｕ       でゅ 
ｄｈｖ       でゅい 
ｄｈｘ       でゅう 
ｄｉ         ぢ 
ｄｊ         ぢ 
ｄｌ         づ 
ｄｏ         ど 
ｄｑ         で 
ｄｕ         づ 
ｄｖ         づい 
ｄｗｌ       どぅ 
ｄｗｕ       どぅ 
ｄｗｖ       どぅい 
ｄｗｘ       どぅう 
ｄｘ         づう 
ｄｙａ       ぢゃ 
ｄｙｃ       ぢょ 
ｄｙｅ       ぢぇ 
ｄｙｆ       ぢゃ 
ｄｙｉ       ぢぃ 
ｄｙｊ       ぢぃ 
ｄｙｌ       ぢゅ 
ｄｙｏ       ぢょ 
ｄｙｑ       ぢぇ 
ｄｙｕ       ぢゅ 
ｄｙｖ       ぢゅい 
ｄｙｘ       ぢゅう 
ｅ           え 
ｆ           あ 
ｇａ         が 
ｇｃ         ご 
ｇｅ         げ 
ｇｆ         が 
ｇｉ         ぎ 
ｇｊ         ぎ 
ｇｌ         ぐ 
ｇｏ         ご 
ｇｑ         げ 
ｇｕ         ぐ 
ｇｖ         ぐい 
ｇｗａ       ぐぁ 
ｇｗｆ       ぐぁ 
ｇｘ         ぐう 
ｇｙａ       ぎゃ 
ｇｙｃ       ぎょ 
ｇｙｅ       ぎぇ 
ｇｙｆ       ぎゃ 
ｇｙｉ       ぎぃ 
ｇｙｊ       ぎぃ 
ｇｙｌ       ぎゅ 
ｇｙｏ       ぎょ 
ｇｙｑ       ぎぇ 
ｇｙｕ       ぎゅ 
ｇｙｖ       ぎゅい 
ｇｙｘ       ぎゅう 
ｈａ         は 
ｈｃ         ほ 
ｈｅ         へ 
ｈｆ         は 
ｈｉ         ひ 
ｈｊ         ひ 
ｈｌ         ふ 
ｈｏ         ほ 
ｈｑ         へ 
ｈｕ         ふ 
ｈｖ         ふい 
ｈｘ         ふう 
ｈｙａ       ひゃ 
ｈｙｃ       ひょ 
ｈｙｅ       ひぇ 
ｈｙｆ       ひゃ 
ｈｙｉ       ひぃ 
ｈｙｊ       ひぃ 
ｈｙｌ       ひゅ 
ｈｙｏ       ひょ 
ｈｙｑ       ひぇ 
ｈｙｕ       ひゅ 
ｈｙｖ       ひゅい 
ｈｙｘ       ひゅう 
ｉ           い 
ｊ           い 
ｋａ         か 
ｋｃ         こ 
ｋｅ         け 
ｋｆ         か 
ｋｉ         き 
ｋｊ         き 
ｋｌ         く 
ｋｏ         こ 
ｋｑ         け 
ｋｕ         く 
ｋｖ         くい 
ｋｗａ       くぁ 
ｋｗｆ       くぁ 
ｋｘ         くう 
ｋｙａ       きゃ 
ｋｙｃ       きょ 
ｋｙｅ       きぇ 
ｋｙｆ       きゃ 
ｋｙｉ       きぃ 
ｋｙｊ       きぃ 
ｋｙｌ       きゅ 
ｋｙｏ       きょ 
ｋｙｑ       きぇ 
ｋｙｕ       きゅ 
ｋｙｖ       きゅい 
ｋｙｘ       きゅう 
ｌ           う 
ｍａ         ま 
ｍｃ         も 
ｍｅ         め 
ｍｆ         ま 
ｍｉ         み 
ｍｊ         み 
ｍｌ         む 
ｍｏ         も 
ｍｑ         め 
ｍｕ         む 
ｍｖ         むい 
ｍｘ         むう 
ｍｙａ       みゃ 
ｍｙｃ       みょ 
ｍｙｅ       みぇ 
ｍｙｆ       みゃ 
ｍｙｉ       みぃ 
ｍｙｊ       みぃ 
ｍｙｌ       みゅ 
ｍｙｏ       みょ 
ｍｙｑ       みぇ 
ｍｙｕ       みゅ 
ｍｙｖ       みゅい 
ｍｙｘ       みゅう 
ｎ’         ん 
ｎａ         な 
ｎｃ         の 
ｎｅ         ね 
ｎｆ         な 
ｎｉ         に 
ｎｊ         に 
ｎｌ         ぬ 
ｎｎ         ん 
ｎｏ         の 
ｎｑ         ね 
ｎｕ         ぬ 
ｎｖ         ぬい 
ｎｘ         ぬう 
ｎｙａ       にゃ 
ｎｙｃ       にょ 
ｎｙｅ       にぇ 
ｎｙｆ       にゃ 
ｎｙｉ       にぃ 
ｎｙｊ       にぃ 
ｎｙｌ       にゅ 
ｎｙｏ       にょ 
ｎｙｑ       にぇ 
ｎｙｕ       にゅ 
ｎｙｖ       にゅい 
ｎｙｘ       にゅう 
ｏ           お 
ｐａ         ぱ 
ｐｃ         ぽ 
ｐｅ         ぺ 
ｐｆ         ぱ 
ｐｉ         ぴ 
ｐｊ         ぴ 
ｐｌ         ぷ 
ｐｏ         ぽ 
ｐｑ         ぺ 
ｐｕ         ぷ 
ｐｖ         ぷい 
ｐｘ         ぷう 
ｐｙａ       ぴゃ 
ｐｙｃ       ぴょ 
ｐｙｅ       ぴぇ 
ｐｙｆ       ぴゃ 
ｐｙｉ       ぴぃ 
ｐｙｊ       ぴぃ 
ｐｙｌ       ぴゅ 
ｐｙｏ       ぴょ 
ｐｙｑ       ぴぇ 
ｐｙｕ       ぴゅ 
ｐｙｖ       ぴゅい 
ｐｙｘ       ぴゅう 
ｑ           え 
ｒａ         ら 
ｒｃ         ろ 
ｒｅ         れ 
ｒｆ         ら 
ｒｉ         り 
ｒｊ         り 
ｒｌ         る 
ｒｏ         ろ 
ｒｑ         れ 
ｒｕ         る 
ｒｖ         るい 
ｒｘ         るう 
ｒｙａ       りゃ 
ｒｙｃ       りょ 
ｒｙｅ       りぇ 
ｒｙｆ       りゃ 
ｒｙｉ       りぃ 
ｒｙｊ       りぃ 
ｒｙｌ       りゅ 
ｒｙｏ       りょ 
