スタイル=OAK/Win(106ｷｰﾎﾞｰﾄﾞ用)
スタイルファイル=HKEY_LOCAL_MACHINE\Software\Justsystem\ATOK\33.0\Style\Oakv

ローマ字設定=
，           、 
－           ー 
．           。 
／           ・ 
［           「 
￥           ー 
］           」 
ａ           あ 
ｂａ         ば 
ｂｅ         べ 
ｂｉ         び 
ｂｏ         ぼ 
ｂｕ         ぶ 
ｂｙａ       びゃ 
ｂｙｅ       びぇ 
ｂｙｉ       びぃ 
ｂｙｏ       びょ 
ｂｙｕ       びゅ 
ｃｈａ       ちゃ 
ｃｈｅ       ちぇ 
ｃｈｉ       ち 
ｃｈｏ       ちょ 
ｃｈｕ       ちゅ 
ｃｙａ       ちゃ 
ｃｙｅ       ちぇ 
ｃｙｉ       ちぃ 
ｃｙｏ       ちょ 
ｃｙｕ       ちゅ 
ｄａ         だ 
ｄｅ         で 
ｄｈａ       でゃ 
ｄｈｅ       でぇ 
ｄｈｉ       でぃ 
ｄｈｏ       でょ 
ｄｈｕ       でゅ 
ｄｉ         ぢ 
ｄｏ         ど 
ｄｕ         づ 
ｄｙａ       ぢゃ 
ｄｙｅ       ぢぇ 
ｄｙｉ       ぢぃ 
ｄｙｏ       ぢょ 
ｄｙｕ       ぢゅ 
ｅ           え 
ｆａ         ふぁ 
ｆｅ         ふぇ 
ｆｉ         ふぃ 
ｆｏ         ふぉ 
ｆｕ         ふ 
ｆｙａ       ふゃ 
ｆｙｅ       ふぇ 
ｆｙｉ       ふぃ 
ｆｙｏ       ふょ 
ｆｙｕ       ふゅ 
ｇａ         が 
ｇｅ         げ 
ｇｉ         ぎ 
ｇｏ         ご 
ｇｕ         ぐ 
ｇｙａ       ぎゃ 
ｇｙｅ       ぎぇ 
ｇｙｉ       ぎぃ 
ｇｙｏ       ぎょ 
ｇｙｕ       ぎゅ 
ｈａ         は 
ｈｅ         へ 
ｈｉ         ひ 
ｈｏ         ほ 
ｈｕ         ふ 
ｈｙａ       ひゃ 
ｈｙｅ       ひぇ 
ｈｙｉ       ひぃ 
ｈｙｏ       ひょ 
ｈｙｕ       ひゅ 
ｉ           い 
ｊａ         じゃ 
ｊｅ         じぇ 
ｊｉ         じ 
ｊｏ         じょ 
ｊｕ         じゅ 
ｊｙａ       じゃ 
ｊｙｅ       じぇ 
ｊｙｉ       じぃ 
ｊｙｏ       じょ 
ｊｙｕ       じゅ 
ｋａ         か 
ｋｅ         け 
ｋｉ         き 
ｋｏ         こ 
ｋｕ         く 
ｋｙａ       きゃ 
ｋｙｅ       きぇ 
ｋｙｉ       きぃ 
ｋｙｏ       きょ 
ｋｙｕ       きゅ 
ｌａ         ぁ 
ｌｅ         ぇ 
ｌｉ         ぃ 
ｌｏ         ぉ 
ｌｕ         ぅ 
ｌｙａ       ゃ 
ｌｙｅ       ぇ 
ｌｙｉ       ぃ 
ｌｙｏ       ょ 
ｌｙｕ       ゅ 
ｍａ         ま 
ｍｅ         め 
ｍｉ         み 
ｍｏ         も 
ｍｕ         む 
ｍｙａ       みゃ 
ｍｙｅ       みぇ 
ｍｙｉ       みぃ 
ｍｙｏ       みょ 
ｍｙｕ       みゅ 
ｎ’         ん 
ｎａ         な 
ｎｅ         ね 
ｎｉ         に 
ｎｎ         ん 
ｎｏ         の 
ｎｕ         ぬ 
ｎｙａ       にゃ 
ｎｙｅ       にぇ 
ｎｙｉ       にぃ 
ｎｙｏ       にょ 
ｎｙｕ       にゅ 
ｏ           お 
ｐａ         ぱ 
ｐｅ         ぺ 
ｐｉ         ぴ 
ｐｏ         ぽ 
ｐｕ         ぷ 
ｐｙａ       ぴゃ 
ｐｙｅ       ぴぇ 
ｐｙｉ       ぴぃ 
ｐｙｏ       ぴょ 
ｐｙｕ       ぴゅ 
ｑ           。 
ｒａ         ら 
ｒｅ         れ 
ｒｉ         り 
ｒｏ         ろ 
ｒｕ         る 
ｒｙａ       りゃ 
ｒｙｅ       りぇ 
ｒｙｉ       りぃ 
ｒｙｏ       りょ 
ｒｙｕ       りゅ 
ｓａ         さ 
ｓｅ         せ 
ｓｈａ       しゃ 
ｓｈｅ       しぇ 
ｓｈｉ       し 
ｓｈｏ       しょ 
ｓｈｕ       しゅ 
ｓｉ         し 
ｓｏ         そ 
ｓｕ         す 
ｓｙａ       しゃ 
ｓｙｅ       しぇ 
ｓｙｉ       しぃ 
ｓｙｏ       しょ 
ｓｙｕ       しゅ 
ｔａ         た 
ｔｅ         て 
ｔｈａ       てゃ 
ｔｈｅ       てぇ 
ｔｈｉ       てぃ 
ｔｈｏ       てょ 
ｔｈｕ       てゅ 
ｔｉ         ち 
ｔｏ         と 
ｔｓｕ       つ 
ｔｕ         つ 
ｔｙａ       ちゃ 
ｔｙｅ       ちぇ 
ｔｙｉ       ちぃ 
ｔｙｏ       ちょ 
ｔｙｕ       ちゅ 
ｕ           う 
ｖａ         う゛ぁ 
ｖｅ         う゛ぇ 
ｖｉ         う゛ぃ 
ｖｏ         う゛ぉ 
ｖｕ         う゛ 
ｗａ         わ 
ｗｅ         うぇ 
ｗｉ         うぃ 
ｗｏ         を 
ｗｕ         う 
ｘ           ー 
ｙａ         や 
ｙｅ         いぇ 
ｙｉ         い 
ｙｏ         よ 
ｙｕ         ゆ 
ｚａ         ざ 
ｚｅ         ぜ 
ｚｉ         じ 
ｚｏ         ぞ 
ｚｕ         ず 
ｚｙａ       じゃ 
ｚｙｅ       じぇ 
ｚｙｉ       じぃ 
ｚｙｏ       じょ 
ｚｙｕ       じゅ 
