#	単打	あ	い	う	え	お	あん	あん	いん	うん	えん	おん	あい	えい	うう	おう
HEADER	NULL	a	i	u	e	o	z	n	k	j	d	l	q	w	h	p
-	ー															
'	ー															
","	、															
.	。															
/	・															
[	「															
]	」															
a	あ															
i	い															
u	う															
e	え															
o	お															
q	ん															
;	っ															
k		か	き	く	け	こ	かん	かん	きん	くん	けん	こん	かい	けい	くう	こう
s		さ	し	す	せ	そ	さん	さん	しん	すん	せん	そん	さい	せい	すう	そう
t		た	ち	つ	て	と	たん	たん	ちん	つん	てん	とん	たい	てい	つう	とう
n		な	に	ぬ	ね	の	なん	ん	にん	ぬん	ねん	のん	ない	ねい	ぬう	のう
h		は	ひ	ふ	へ	ほ	はん	はん	ひん	ふん	へん	ほん	はい	へい	ふう	ほう
m		ま	み	む	め	も	まん		みん	むん	めん	もん	まい	めい	むう	もう
y		や		ゆ		よ	やん	やん		ゆん		よん	やい		ゆう	よう
r		ら	り	る	れ	ろ	らん	らん	りん	るん	れん	ろん	らい	れい	るう	ろう
w		わ	うぃ		うぇ	を	わん	わん	うぃん		うぇん	うぉん	わい			うぉー
ws						うぉ										
g		が	ぎ	ぐ	げん	ご	がん	がん	ぎん	ぐん	げん	ごん	がい	げい	ぐう	ごう
z		ざ	じ	ず	ぜ	ぞ	ざん	ざん	じん	ずん	ぜん	ぞん	ざい	ぜい	ずう	ぞう
d		だ	ぢ	づ	で	ど	だん	だん	ぢん	づん	でん	どん	だい	でい	づう	どう
b		ば	び	ぶ	べ	ぼ	ばん	ばん	びん	ぶん	べん	ぼん	ばい	べい	ぶう	ぼう
p		ぱ	ぴ	ぷ	ぺ	ぽ	ぱん	ぱん	ぴん	ぷん	ぺん	ぽん	ぱい	ぺい	ぷう	ぽう
ky		きゃ		きゅ	きぇ	きょ	きゃん	きゃん		きゅん	きぇん	きょん	きゃい	きぇい	きゅう	きょう
kg		きゃ		きゅ		きょ	きゃん	きゃん		きゅん		きょん	きゃい		きゅう	きょう
sy		しゃ		しゅ	しぇ	しょ	しゃん	しゃん		しゅん	しぇん	しょん	しゃい	しぇい	しゅう	しょう
x		しゃ		しゅ	しぇ	しょ	しゃん	しゃん		しゅん	しぇん	しょん	しゃい	しぇい	しゅう	しょう
ty		ちゃ		ちゅ	ちぇ	ちょ	ちゃん	ちゃん		ちゅん	ちぇん	ちょん	ちゃい	ちぇい	ちゅう	ちょう
c		ちゃ		ちゅ	ちぇ	ちょ	ちゃん	ちゃん		ちゅん	ちぇん	ちょん	ちゃい	ちぇい	ちゅう	ちょう
ny		にゃ		にゅ	にぇ	にょ	にゃん	にゃん		にゅん	にぇん	にょん	にゃい	にぇい	にゅう	にょう
ng		にゃ		にゅ	にぇ	にょ	にゃん	にゃん		にゅん	にぇん	にょん	にゃい	にぇい	にゅう	にょう
hy		ひゃ		ひゅ	ひぇ	ひょ	ひゃん	ひゃん		ひゅん	ひぇん	ひょん	ひゃい	ひぇい	ひゅう	ひょう
hg		ひゃ		ひゅ	ひぇ	ひょ	ひゃん	ひゃん		ひゅん	ひぇん	ひょん	ひゃい	ひぇい	ひゅう	ひょう
my		みゃ		みゅ	みぇ	みょ	みゃん	みゃん		みゅん	みぇん	みょん	みゃい	みぇい	みゅう	みょう
mg		みゃ		みゅ	みぇ	みょ	みゃん	みゃん		みゅん	みぇん	みょん	みゃい	みぇい	みゅう	みょう
ry		りゃ		りゅ	りぇ	りょ	りゃん	りゃん		りゅん	りぇん	りょん	りゃい	りぇい	りゅう	りょう
gy		ぎゃ		ぎゅ	ぎぇ	ぎょ	ぎゃん	ぎゃん		ぎゅん	ぎぇん	ぎょん	ぎゃい	ぎぇい	ぎゅう	ぎょう
j		じゃ	じ	じゅ	じぇ	じょ	じゃん	じゃん	じん	じゅん	じぇん	じょん	じゃい	じぇい	じゅう	じょう
by		びゃ		びゅ	びぇ	びょ	びゃん	びゃん		びゅん	びぇん	びょん	びゃい	びぇい	びゅう	びょう
pg		ぴゃ		ぴゅ	ぴぇ	ぴょ	ぴゃん	ぴゃん		ぴゅん	ぴぇん	ぴょん	ぴゃい	ぴぇい	ぴゅう	ぴょう
py		ぴゃ		ぴゅ	ぴぇ	ぴょ	ぴゃん	ぴゃん		ぴゅん	ぴぇん	ぴょん	ぴゃい	ぴぇい	ぴゅう	ぴょう
f		ふぁ	ふぃ	ふ	ふぇ	ふぉ	ふぁん	ふぁん	ふぃん	ふん	ふぇん	ふぉん	ふぁい	ふぇい	ふう	ふぉー
v		う゛ぁ	う゛ぃ	う゛	う゛ぇ	う゛ぉ										
tg			てぃ	とぅ												
dc			でぃ	どぅ												
l		ぁ	ぃ	ぅ	ぇ	ぉ										
ly		ゃ		ゅ		ょ										
ltu	っ															
lwa	ゎ															
																
kf	き															
jf	じゅ															
hf	ふ															
yf	ゆ															
mf	む															
nf	ぬ															
df	で															
cf	ちぇ															
pf	ぽん															
wf	わい															
sf	さい															
ss	せい															
zc	ざ															
zv	ざい															
zf	ぜ															
zx	ぜい															
																
#特殊拡張																
kt	こと															
st	した															
tt	たち															
ht	ひと															
wt	わた															
mn	もの															
ms	ます															
ds	です															
km	かも															
tm	ため															
dm	でも															
kr	から															
sr	する															
tr	たら															
nr	なる															
yr	よる															
rr	られ															
zr	ざる															
mt	また															
tb	たび															
nb	ねば															
bt	びと															
gr	がら															
gt	ごと															
nt	にち															
dt	だち															
wr	われ															
